tool,run,parameter,moment,value
nm7,22,prob,text,22 phase1 2 CMT like 1004 but diff. initial on V3
nm7,22,min,status,0
nm7,22,P1,estimate,7.89776
nm7,22,P2,estimate,20.4459
nm7,22,P3,estimate,0.0578695
nm7,22,P4,estimate,3.23506
nm7,22,P5,estimate,119.183
nm7,22,P6,estimate,1.11326
nm7,22,P7,estimate,1.90275
nm7,22,P8,estimate,0.0740993
nm7,22,P9,estimate,0.176545
nm7,22,P10,estimate,0
nm7,22,P11,estimate,0.189047
nm7,22,P12,estimate,0
nm7,22,P13,estimate,0
nm7,22,P14,estimate,0.107576
nm7,22,P1,prse,Inf
nm7,22,P2,prse,Inf
nm7,22,P3,prse,Inf
nm7,22,P4,prse,Inf
nm7,22,P5,prse,Inf
nm7,22,P6,prse,Inf
nm7,22,P7,prse,Inf
nm7,22,P8,prse,Inf
nm7,22,P9,prse,Inf
nm7,22,P10,prse,Inf
nm7,22,P11,prse,Inf
nm7,22,P12,prse,Inf
nm7,22,P13,prse,Inf
nm7,22,P14,prse,Inf
nm7,22,ofv,minimum,2890.50607268876
nm7,23,prob,text,23 phase1 2 CMT like 1004 but diff. initial on V3
nm7,23,min,status,0
nm7,23,P1,estimate,10.1014
nm7,23,P2,estimate,21.9589
nm7,23,P3,estimate,0.0653522
nm7,23,P4,estimate,3.8215
nm7,23,P5,estimate,107.26
nm7,23,P6,estimate,1.14245
nm7,23,P7,estimate,1.00224
nm7,23,P8,estimate,0.0707594
nm7,23,P9,estimate,0.255249
nm7,23,P10,estimate,0
nm7,23,P11,estimate,0.117812
nm7,23,P12,estimate,0
nm7,23,P13,estimate,0
nm7,23,P14,estimate,0.154317
nm7,23,P1,prse,Inf
nm7,23,P2,prse,Inf
nm7,23,P3,prse,Inf
nm7,23,P4,prse,Inf
nm7,23,P5,prse,Inf
nm7,23,P6,prse,Inf
nm7,23,P7,prse,Inf
nm7,23,P8,prse,Inf
nm7,23,P9,prse,Inf
nm7,23,P10,prse,Inf
nm7,23,P11,prse,Inf
nm7,23,P12,prse,Inf
nm7,23,P13,prse,Inf
nm7,23,P14,prse,Inf
nm7,23,ofv,minimum,2052.75404709161
nm7,24,prob,text,24 phase1 2 CMT like 1004 but diff. initial on V3
nm7,24,min,status,0
nm7,24,P1,estimate,8.03216
nm7,24,P2,estimate,21.3865
nm7,24,P3,estimate,0.0699756
nm7,24,P4,estimate,4.06167
nm7,24,P5,estimate,86.1296
nm7,24,P6,estimate,1.16889
nm7,24,P7,estimate,1.96239
nm7,24,P8,estimate,0.0620866
nm7,24,P9,estimate,0.222152
nm7,24,P10,estimate,0
nm7,24,P11,estimate,0.150796
nm7,24,P12,estimate,0
nm7,24,P13,estimate,0
