$PROB 49 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 50 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25680034824,12.7938,17.9708,0.0911513,3.84503,63.1647,0.0384848,0.050843,0,0.041216,0,0,0.034004
$PROB 50 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 51 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25679610186,12.7938,17.9703,0.091149,3.84416,63.1589,0.0384819,0.0508628,0,0.0412279,0,0,0.0340144
$PROB 51 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 52 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25680027802,12.7939,17.9703,0.0911494,3.84481,63.1631,0.038485,0.0508402,0,0.0412065,0,0,0.0340026
$PROB 52 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 53 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25679898827,12.7936,17.9713,0.0911566,3.84554,63.1688,0.0384834,0.0508462,0,0.0412324,0,0,0.0340085
$PROB 53 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 54 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25679707886,12.7939,17.972,0.0911578,3.84535,63.1681,0.038482,0.0508556,0,0.0412294,0,0,0.0340144
$PROB 54 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 55 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25679562374,12.7939,17.9714,0.0911544,3.84481,63.1641,0.0384815,0.0508606,0,0.0412326,0,0,0.0340168
$PROB 55 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 56 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25679671635,12.7939,17.9719,0.0911574,3.84527,63.1675,0.0384818,0.0508568,0,0.0412303,0,0,0.0340151
$PROB 56 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 57 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.2567969607,12.7939,17.9719,0.0911577,3.84533,63.1679,0.0384819,0.050856,0,0.0412297,0,0,0.0340147
$PROB 57 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 58 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25680033211,12.7938,17.9709,0.0911516,3.84507,63.1651,0.0384848,0.0508434,0,0.0412163,0,0,0.0340042
$PROB 58 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 59 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25679934899,12.7938,17.9717,0.0911555,3.84525,63.1665,0.0384837,0.050845,0,0.0412227,0,0,0.0340099
$PROB 59 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 60 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25679674164,12.7939,17.9719,0.0911574,3.84528,63.1675,0.0384818,0.0508568,0,0.0412302,0,0,0.0340151
$PROB 60 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 61 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25679638979,12.7939,17.9718,0.0911568,3.84518,63.1668,0.0384817,0.0508579,0,0.041231,0,0,0.0340157
$PROB 61 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 62 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25679617625,12.7938,17.9704,0.0911492,3.84418,63.1591,0.0384819,0.0508626,0,0.0412277,0,0,0.0340143
$PROB 62 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 63 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25679654927,12.7939,17.9719,0.0911571,3.84523,63.1672,0.0384817,0.0508574,0,0.0412307,0,0,0.0340154
$PROB 63 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 64 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25679546091,12.7939,17.9713,0.0911536,3.8447,63.1632,0.0384815,0.0508612,0,0.041233,0,0,0.0340169
$PROB 64 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 65 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25679803798,12.794,17.9718,0.0911592,3.84563,63.1694,0.0384864,0.050839,0,0.0411911,0,0,0.0340096
$PROB 65 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 66 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25679585708,12.7939,17.9716,0.0911554,3.84496,63.1652,0.0384815,0.0508597,0,0.0412321,0,0,0.0340165
$PROB 66 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
