"tool","run","parameter","moment","value"
"nm7","8","THETA7","estimate","2.37344"
"nm7","8","THETA7","prse",NA
"nm7","9","prob","text","9 phase1 2 CMT like 1004 but diff. initial on V3"
"nm7","9","min","status","0"
"nm7","9","ofv","estimate","2493.49516645065"
"nm7","9","OMEGA1.1","estimate","0.187825"
"nm7","9","OMEGA1.1","prse",NA
"nm7","9","OMEGA2.1","estimate","0"
"nm7","9","OMEGA2.1","prse",NA
"nm7","9","OMEGA2.2","estimate","0.147172"
"nm7","9","OMEGA2.2","prse",NA
"nm7","9","OMEGA3.1","estimate","0"
"nm7","9","OMEGA3.1","prse",NA
"nm7","9","OMEGA3.2","estimate","0"
"nm7","9","OMEGA3.2","prse",NA
"nm7","9","OMEGA3.3","estimate","0.107854"
"nm7","9","OMEGA3.3","prse",NA
"nm7","9","SIGMA1.1","estimate","0.0705496"
"nm7","9","SIGMA1.1","prse",NA
"nm7","9","THETA1","estimate","9.34189"
"nm7","9","THETA1","prse",NA
"nm7","9","THETA2","estimate","22.8651"
"nm7","9","THETA2","prse",NA
"nm7","9","THETA3","estimate","0.067912"
"nm7","9","THETA3","prse",NA
"nm7","9","THETA4","estimate","3.79509"
"nm7","9","THETA4","prse",NA
"nm7","9","THETA5","estimate","92.3966"
"nm7","9","THETA5","prse",NA
"nm7","9","THETA6","estimate","1.10189"
"nm7","9","THETA6","prse",NA
"nm7","9","THETA7","estimate","1.59232"
"nm7","9","THETA7","prse",NA
"nm7","10","prob","text","10 phase1 2 CMT like 1004 but diff. initial on V3"
"nm7","10","min","status","0"
"nm7","10","ofv","estimate","2734.99924992991"
"nm7","10","OMEGA1.1","estimate","0.191492"
"nm7","10","OMEGA1.1","prse",NA
"nm7","10","OMEGA2.1","estimate","0"
"nm7","10","OMEGA2.1","prse",NA
"nm7","10","OMEGA2.2","estimate","0.0947485"
"nm7","10","OMEGA2.2","prse",NA
"nm7","10","OMEGA3.1","estimate","0"
"nm7","10","OMEGA3.1","prse",NA
"nm7","10","OMEGA3.2","estimate","0"
"nm7","10","OMEGA3.2","prse",NA
"nm7","10","OMEGA3.3","estimate","0.0751036"
"nm7","10","OMEGA3.3","prse",NA
"nm7","10","SIGMA1.1","estimate","0.0582831"
"nm7","10","SIGMA1.1","prse",NA
"nm7","10","THETA1","estimate","9.85489"
"nm7","10","THETA1","prse",NA
"nm7","10","THETA2","estimate","26.1078"
"nm7","10","THETA2","prse",NA
"nm7","10","THETA3","estimate","0.0736399"
"nm7","10","THETA3","prse",NA
"nm7","10","THETA4","estimate","4.41333"
"nm7","10","THETA4","prse",NA
"nm7","10","THETA5","estimate","119.735"
"nm7","10","THETA5","prse",NA
"nm7","10","THETA6","estimate","0.836765"
"nm7","10","THETA6","prse",NA
"nm7","10","THETA7","estimate","1.85115"
"nm7","10","THETA7","prse",NA
"nm7","11","prob","text","11 phase1 2 CMT like 1004 but diff. initial on V3"
"nm7","11","min","status","0"
"nm7","11","ofv","estimate","2757.2423329719"
"nm7","11","OMEGA1.1","estimate","0.188275"
"nm7","11","OMEGA1.1","prse",NA
"nm7","11","OMEGA2.1","estimate","0"
"nm7","11","OMEGA2.1","prse",NA
"nm7","11","OMEGA2.2","estimate","0.0455356"
"nm7","11","OMEGA2.2","prse",NA
"nm7","11","OMEGA3.1","estimate","0"
"nm7","11","OMEGA3.1","prse",NA
"nm7","11","OMEGA3.2","estimate","0"
"nm7","11","OMEGA3.2","prse",NA
"nm7","11","OMEGA3.3","estimate","0.110099"
"nm7","11","OMEGA3.3","prse",NA
"nm7","11","SIGMA1.1","estimate","0.0482248"
"nm7","11","SIGMA1.1","prse",NA
"nm7","11","THETA1","estimate","7.19161"
"nm7","11","THETA1","prse",NA
"nm7","11","THETA2","estimate","25.1065"
"nm7","11","THETA2","prse",NA
"nm7","11","THETA3","estimate","0.0821139"
"nm7","11","THETA3","prse",NA
"nm7","11","THETA4","estimate","4.72224"
"nm7","11","THETA4","prse",NA
"nm7","11","THETA5","estimate","99.5872"
"nm7","11","THETA5","prse",NA
"nm7","11","THETA6","estimate","1.08031"
"nm7","11","THETA6","prse",NA
"nm7","11","THETA7","estimate","1.87728"
"nm7","11","THETA7","prse",NA
"nm7","12","prob","text","12 phase1 2 CMT like 1004 but diff. initial on V3"
"nm7","12","min","status","0"
"nm7","12","ofv","estimate","2762.70845751241"
"nm7","12","OMEGA1.1","estimate","0.19789"
"nm7","12","OMEGA1.1","prse",NA
"nm7","12","OMEGA2.1","estimate","0"
"nm7","12","OMEGA2.1","prse",NA
"nm7","12","OMEGA2.2","estimate","0.158397"
"nm7","12","OMEGA2.2","prse",NA
"nm7","12","OMEGA3.1","estimate","0"
"nm7","12","OMEGA3.1","prse",NA
"nm7","12","OMEGA3.2","estimate","0"
"nm7","12","OMEGA3.2","prse",NA
"nm7","12","OMEGA3.3","estimate","0.0926469"
"nm7","12","OMEGA3.3","prse",NA
"nm7","12","SIGMA1.1","estimate","0.0643828"
"nm7","12","SIGMA1.1","prse",NA
"nm7","12","THETA1","estimate","8.19378"
"nm7","12","THETA1","prse",NA
"nm7","12","THETA2","estimate","22.8054"
"nm7","12","THETA2","prse",NA
"nm7","12","THETA3","estimate","0.0644377"
"nm7","12","THETA3","prse",NA
"nm7","12","THETA4","estimate","3.35374"
"nm7","12","THETA4","prse",NA
"nm7","12","THETA5","estimate","121.656"
"nm7","12","THETA5","prse",NA
"nm7","12","THETA6","estimate","1.36556"
"nm7","12","THETA6","prse",NA
"nm7","12","THETA7","estimate","1.83354"
"nm7","12","THETA7","prse",NA
"nm7","13","prob","text","13 phase1 2 CMT like 1004 but diff. initial on V3"
"nm7","13","min","status","0"
"nm7","13","ofv","estimate","2449.07313087253"
"nm7","13","OMEGA1.1","estimate","0.171162"
"nm7","13","OMEGA1.1","prse",NA
"nm7","13","OMEGA2.1","estimate","0"
"nm7","13","OMEGA2.1","prse",NA
"nm7","13","OMEGA2.2","estimate","0.086247"
"nm7","13","OMEGA2.2","prse",NA
"nm7","13","OMEGA3.1","estimate","0"
"nm7","13","OMEGA3.1","prse",NA
"nm7","13","OMEGA3.2","estimate","0"
"nm7","13","OMEGA3.2","prse",NA
"nm7","13","OMEGA3.3","estimate","0.1239"
"nm7","13","OMEGA3.3","prse",NA
"nm7","13","SIGMA1.1","estimate","0.0612453"
"nm7","13","SIGMA1.1","prse",NA
"nm7","13","THETA1","estimate","7.43612"
"nm7","13","THETA1","prse",NA
"nm7","13","THETA2","estimate","21.7622"
"nm7","13","THETA2","prse",NA
"nm7","13","THETA3","estimate","0.0737886"
"nm7","13","THETA3","prse",NA
"nm7","13","THETA4","estimate","4.06415"
"nm7","13","THETA4","prse",NA
"nm7","13","THETA5","estimate","94.8435"
"nm7","13","THETA5","prse",NA
"nm7","13","THETA6","estimate","1.13036"
"nm7","13","THETA6","prse",NA
"nm7","13","THETA7","estimate","1.89674"
"nm7","13","THETA7","prse",NA
"nm7","14","prob","text","14 phase1 2 CMT like 1004 but diff. initial on V3"
"nm7","14","min","status","0"
"nm7","14","ofv","estimate","2214.90886234044"
"nm7","14","OMEGA1.1","estimate","0.186996"
"nm7","14","OMEGA1.1","prse",NA
"nm7","14","OMEGA2.1","estimate","0"
"nm7","14","OMEGA2.1","prse",NA
"nm7","14","OMEGA2.2","estimate","0.104523"
"nm7","14","OMEGA2.2","prse",NA
"nm7","14","OMEGA3.1","estimate","0"
"nm7","14","OMEGA3.1","prse",NA
"nm7","14","OMEGA3.2","estimate","0"
"nm7","14","OMEGA3.2","prse",NA
"nm7","14","OMEGA3.3","estimate","0.101054"
"nm7","14","OMEGA3.3","prse",NA
"nm7","14","SIGMA1.1","estimate","0.0680253"
"nm7","14","SIGMA1.1","prse",NA
"nm7","14","THETA1","estimate","9.16796"
"nm7","14","THETA1","prse",NA
"nm7","14","THETA2","estimate","21.5208"
"nm7","14","THETA2","prse",NA
"nm7","14","THETA3","estimate","0.0630898"
"nm7","14","THETA3","prse",NA
"nm7","14","THETA4","estimate","3.57174"
"nm7","14","THETA4","prse",NA
"nm7","14","THETA5","estimate","105.971"
"nm7","14","THETA5","prse",NA
"nm7","14","THETA6","estimate","0.948446"
"nm7","14","THETA6","prse",NA
"nm7","14","THETA7","estimate","1.42121"
"nm7","14","THETA7","prse",NA
